2010-07-14-16:59:00.000-06:00I----- pdweb.http total-worker	 : 5:53.572
2010-07-14-16:59:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:59:00.000-06:00I----- pdweb.http avg-webseal	 : 1.339
2010-07-14-16:59:00.000-06:00I----- pdweb.http total-webseal	 : 5:53.549
2010-07-14-17:00:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:00:00.000-06:00I----- pdweb.http reqs	 : 307
2010-07-14-17:00:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-17:00:00.000-06:00I----- pdweb.http avg-worker	 : 1.158
2010-07-14-17:00:00.000-06:00I----- pdweb.http total-worker	 : 5:54.373
2010-07-14-17:00:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-17:00:00.000-06:00I----- pdweb.http avg-webseal	 : 1.157
2010-07-14-17:00:00.000-06:00I----- pdweb.http total-webseal	 : 5:54.346
2010-07-14-17:01:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:01:00.000-06:00I----- pdweb.http reqs	 : 351
2010-07-14-17:01:00.000-06:00I----- pdweb.http max-worker	 : 2:22.344
2010-07-14-17:01:00.000-06:00I----- pdweb.http avg-worker	 : 1.496
2010-07-14-17:01:00.000-06:00I----- pdweb.http total-worker	 : 8:43.829
2010-07-14-17:01:00.000-06:00I----- pdweb.http max-webseal	 : 2:22.344
2010-07-14-17:01:00.000-06:00I----- pdweb.http avg-webseal	 : 1.496
2010-07-14-17:01:00.000-06:00I----- pdweb.http total-webseal	 : 8:43.798
2010-07-14-17:02:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:02:00.000-06:00I----- pdweb.http reqs	 : 400
2010-07-14-17:02:00.000-06:00I----- pdweb.http max-worker	 : 2:22.344
2010-07-14-17:02:00.000-06:00I----- pdweb.http avg-worker	 : 1.385
2010-07-14-17:02:00.000-06:00I----- pdweb.http total-worker	 : 9:11.286
2010-07-14-17:02:00.000-06:00I----- pdweb.http max-webseal	 : 2:22.344
2010-07-14-17:02:00.000-06:00I----- pdweb.http avg-webseal	 : 1.385
2010-07-14-17:02:00.000-06:00I----- pdweb.http total-webseal	 : 9:11.249
2010-07-14-17:03:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:03:00.000-06:00I----- pdweb.http reqs	 : 460
2010-07-14-17:03:00.000-06:00I----- pdweb.http max-worker	 : 2:28.616
2010-07-14-17:03:00.000-06:00I----- pdweb.http avg-worker	 : 1.540
2010-07-14-17:03:00.000-06:00I----- pdweb.http total-worker	 : 11:42.500
2010-07-14-17:03:00.000-06:00I----- pdweb.http max-webseal	 : 2:28.616
2010-07-14-17:03:00.000-06:00I----- pdweb.http avg-webseal	 : 1.540
2010-07-14-17:03:00.000-06:00I----- pdweb.http total-webseal	 : 11:42.455
2010-07-14-17:04:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:04:00.000-06:00I----- pdweb.http reqs	 : 622
2010-07-14-17:04:00.000-06:00I----- pdweb.http max-worker	 : 2:28.616
2010-07-14-17:04:00.000-06:00I----- pdweb.http avg-worker	 : 1.185
2010-07-14-17:04:00.000-06:00I----- pdweb.http total-worker	 : 12:15.298
2010-07-14-17:04:00.000-06:00I----- pdweb.http max-webseal	 : 2:28.616
2010-07-14-17:04:00.000-06:00I----- pdweb.http avg-webseal	 : 1.185
2010-07-14-17:04:00.000-06:00I----- pdweb.http total-webseal	 : 12:15.242
2010-07-14-17:05:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:05:00.000-06:00I----- pdweb.http reqs	 : 788
2010-07-14-17:05:00.000-06:00I----- pdweb.http max-worker	 : 2:39.671
2010-07-14-17:05:00.000-06:00I----- pdweb.http avg-worker	 : 1.188
2010-07-14-17:05:00.000-06:00I----- pdweb.http total-worker	 : 15:34.205
2010-07-14-17:05:00.000-06:00I----- pdweb.http max-webseal	 : 2:39.671
2010-07-14-17:05:00.000-06:00I----- pdweb.http avg-webseal	 : 1.188
2010-07-14-17:05:00.000-06:00I----- pdweb.http total-webseal	 : 15:34.137
2010-07-14-17:06:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:06:00.000-06:00I----- pdweb.http reqs	 : 952
2010-07-14-17:06:00.000-06:00I----- pdweb.http max-worker	 : 2:47.369
2010-07-14-17:06:00.000-06:00I----- pdweb.http avg-worker	 : 1.199
2010-07-14-17:06:00.000-06:00I----- pdweb.http total-worker	 : 18:59.353
2010-07-14-17:06:00.000-06:00I----- pdweb.http max-webseal	 : 2:47.369
2010-07-14-17:06:00.000-06:00I----- pdweb.http avg-webseal	 : 1.199
2010-07-14-17:06:00.000-06:00I----- pdweb.http total-webseal	 : 18:59.267
2010-07-14-17:07:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:07:00.000-06:00I----- pdweb.http reqs	 : 1117
2010-07-14-17:07:00.000-06:00I----- pdweb.http max-worker	 : 2:47.568
2010-07-14-17:07:00.000-06:00I----- pdweb.http avg-worker	 : 1.180
2010-07-14-17:07:00.000-06:00I----- pdweb.http total-worker	 : 21:55.613
2010-07-14-17:07:00.000-06:00I----- pdweb.http max-webseal	 : 2:47.568
2010-07-14-17:07:00.000-06:00I----- pdweb.http avg-webseal	 : 1.180
2010-07-14-17:07:00.000-06:00I----- pdweb.http total-webseal	 : 21:55.517
2010-07-14-17:08:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:08:00.000-06:00I----- pdweb.http reqs	 : 1285
2010-07-14-17:08:00.000-06:00I----- pdweb.http max-worker	 : 2:51.497
2010-07-14-17:08:00.000-06:00I----- pdweb.http avg-worker	 : 1.190
2010-07-14-17:08:00.000-06:00I----- pdweb.http total-worker	 : 25:26.045
2010-07-14-17:08:00.000-06:00I----- pdweb.http max-webseal	 : 2:51.496
2010-07-14-17:08:00.000-06:00I----- pdweb.http avg-webseal	 : 1.190
2010-07-14-17:08:00.000-06:00I----- pdweb.http total-webseal	 : 25:25.932
2010-07-14-17:09:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:09:00.000-06:00I----- pdweb.http reqs	 : 1446
2010-07-14-17:09:00.000-06:00I----- pdweb.http max-worker	 : 2:51.497
2010-07-14-17:09:00.000-06:00I----- pdweb.http avg-worker	 : 1.081
2010-07-14-17:09:00.000-06:00I----- pdweb.http total-worker	 : 26:02.028
2010-07-14-17:09:00.000-06:00I----- pdweb.http max-webseal	 : 2:51.496
2010-07-14-17:09:00.000-06:00I----- pdweb.http avg-webseal	 : 1.081
2010-07-14-17:09:00.000-06:00I----- pdweb.http total-webseal	 : 26:01.903
2010-07-14-17:10:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-17:10:00.000-06:00I----- pdweb.http reqs	 : 1612
2010-07-14-17:10:00.000-06:00I----- pdweb.http max-worker	 : 2:51.497
2010-07-14-17:10:00.000-06:00I----- pdweb.http avg-worker	 : 1.099
2010-07-14-17:10:00.000-06:00I----- pdweb.http total-worker	 : 29:30.985
2010-07-14-17:10:00.000-06:00I----- pdweb.http max-webseal	 : 2:51.496
