2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-17:06:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:06:00.000-06:00I----- pdweb.authn pass	 : 261
2010-07-14-17:06:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:06:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:06:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:06:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:06:00.000-06:00I----- pdweb.authn total	 : 0.493
2010-07-14-17:07:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:07:00.000-06:00I----- pdweb.authn pass	 : 281
2010-07-14-17:07:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:07:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:07:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:07:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:07:00.000-06:00I----- pdweb.authn total	 : 0.536
2010-07-14-17:08:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:08:00.000-06:00I----- pdweb.authn pass	 : 302
2010-07-14-17:08:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:08:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:08:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:08:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:08:00.000-06:00I----- pdweb.authn total	 : 0.580
2010-07-14-17:09:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:09:00.000-06:00I----- pdweb.authn pass	 : 323
2010-07-14-17:09:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:09:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:09:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:09:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:09:00.000-06:00I----- pdweb.authn total	 : 0.618
2010-07-14-17:10:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:10:00.000-06:00I----- pdweb.authn pass	 : 343
2010-07-14-17:10:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:10:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:10:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:10:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:10:00.000-06:00I----- pdweb.authn total	 : 0.676
2010-07-14-17:11:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:11:00.000-06:00I----- pdweb.authn pass	 : 362
2010-07-14-17:11:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:11:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:11:00.000-06:00I----- pdweb.authn max	 : 0.015
2010-07-14-17:11:00.000-06:00I----- pdweb.authn avg	 : 0.001
2010-07-14-17:11:00.000-06:00I----- pdweb.authn total	 : 0.721
2010-07-14-17:12:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:12:00.000-06:00I----- pdweb.authn pass	 : 382
2010-07-14-17:12:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:12:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:12:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:12:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:12:00.000-06:00I----- pdweb.authn total	 : 0.807
2010-07-14-17:13:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:13:00.000-06:00I----- pdweb.authn pass	 : 401
2010-07-14-17:13:00.000-06:00I----- pdweb.authn fail	 : 0
